Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
NIC1316	UNKNOWN		UNKNOWN	53533256	53073976	11191322	9.11195	52147731	1193250	38044	13069	9637	7724	7200	6227	6199	6112	6813	4954	3912	3225	3393	3827	4093	4863416	3994154	3039367	2216137	1628555	961479	662797	409906	264439	184934	
NIC1317	UNKNOWN		UNKNOWN	28010735	27529315	3785118	10.7164	27328656	580964	17771	6552	4735	3985	3989	3459	3730	3517	3881	2982	2287	2274	2629	2828	2907	2427802	2013163	1533248	1130991	865980	511428	373947	243351	157954	111380	
NIC1321	UNKNOWN		UNKNOWN	51638073	51319374	8431667	11.1877	50224696	1166137	35137	12014	8928	7690	7171	6459	6686	6568	6894	6186	5757	5525	5757	6456	6941	5054951	4155059	3173547	2328094	1690827	1044894	704195	434707	278519	198835	
NIC1323	UNKNOWN		UNKNOWN	60542062	60077785	9710698	12.5557	58947727	1312169	38245	13558	10542	9351	9544	8516	9003	9010	10758	8239	7021	7020	7354	8066	8969	5836404	4847646	3713337	2720151	2014635	1222120	841137	524395	335601	232856	
NIC1328	UNKNOWN		UNKNOWN	83387022	81449657	22547405	8.72639	81248930	1843374	60037	19753	14591	11298	10467	9114	9350	8500	8939	7192	6185	5482	5759	6473	7083	7473794	6157040	4708299	3479925	2573516	1535580	1096129	723805	524509	440058	
NIC1337	UNKNOWN		UNKNOWN	24319456	24051671	2971463	10.8187	23735938	497720	14201	4727	3547	3134	3050	2725	2738	2721	2665	2257	2060	2061	2283	2645	2904	2109693	1733735	1306053	952404	712608	408596	290213	184183	117681	81424	
NIC1338	UNKNOWN		UNKNOWN	29217067	28916801	4046345	10.7782	28499783	617682	17799	6106	4554	3883	3793	3604	3709	3452	3932	2699	2161	2257	2393	2578	2847	2550246	2074954	1569385	1140047	839585	491218	344661	217570	141287	102463	
NIC1341	UNKNOWN		UNKNOWN	44461853	43870113	7242123	11.1246	43329540	955966	28664	9736	7385	6343	6130	5495	5666	5466	5766	4995	4225	4337	4769	5214	5409	4061477	3354655	2554236	1872326	1394320	839696	595026	381286	245049	170229	
NIC1343	UNKNOWN		UNKNOWN	52477428	50356733	11064348	6.61356	51206867	1124909	32460	10833	7702	6248	5478	4922	4749	4630	4682	3205	2632	2432	2459	2691	3102	4621908	3757899	2837090	2085084	1589295	1009307	777054	533649	345840	217095	
NIC1344	UNKNOWN		UNKNOWN	54601545	53761673	11823691	10.7003	53175988	1214904	37229	12994	9604	7596	7389	6583	7041	6969	8532	6125	4467	3827	4160	4537	4903	4954447	4040023	3050537	2218337	1620774	964288	667849	419421	267069	180770	
