Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
BRC20541	UNKNOWN		UNKNOWN	42479063	42005817	4046131	3.59797	41084202	1261986	67794	13087	4905	3411	2554	1883	2276	1807	1827	2034	2007	1905	1852	1940	2038	3933115	3444669	2784468	2153704	1637974	994774	700180	443689	274867	163036	
BRC20543	UNKNOWN		UNKNOWN	100662912	100067109	9012619	5.24895	97513935	2850894	137716	25508	12616	8374	8480	7912	8507	8744	10762	6358	4165	4284	4525	4555	4534	9841865	8534282	6769035	5072567	3700722	2233263	1511338	931849	555626	328793	
BRC20544	UNKNOWN		UNKNOWN	32278141	32079580	3006734	2.77735	31281711	917985	44578	7180	3092	1891	1235	1031	921	873	841	905	865	894	1029	1142	1078	2899626	2462188	1923815	1431286	1048888	620616	429475	267106	159422	94256	
BRC20545	UNKNOWN		UNKNOWN	37119738	36939957	3782126	3.55274	35957477	1065212	52526	8943	3647	2086	1669	1414	1436	1423	1638	1407	1336	1401	1591	1768	1650	3292595	2840192	2250787	1718606	1298674	753783	528009	329553	197360	118386	
BRC20556	UNKNOWN		UNKNOWN	41613799	41472389	3821948	3.06607	40312763	1198433	58128	9564	3872	2657	1855	1490	1472	1563	1636	1362	1371	1203	1243	1236	1237	3828208	3252392	2538830	1886492	1372346	808390	555966	342514	203952	118464	
BRC20557	UNKNOWN		UNKNOWN	30601070	30368817	2691624	3.33348	29620895	896882	47381	8772	3801	2221	2038	2010	1940	1948	2226	1045	526	566	616	712	762	2730293	2386068	1913088	1470579	1126999	666506	469684	296161	180682	109903	
BRC20565	UNKNOWN		UNKNOWN	28671591	28616757	4253092	2.66749	27717328	878814	45845	8498	3189	1883	1200	910	833	787	816	761	714	665	636	853	628	2399879	2017725	1569626	1175700	869356	510329	354279	222124	132647	78670	
BRC20571	UNKNOWN		UNKNOWN	32504768	32449189	4405315	4.68144	31428775	985349	50428	8952	4126	2524	2126	1716	1809	1521	1645	1559	1759	1459	1550	1584	976	2759191	2327676	1815868	1361412	1009767	600988	412178	259160	160485	96294	
BRC20574	UNKNOWN		UNKNOWN	30901920	30813805	5383817	4.35497	29852831	957768	49641	8720	3592	2193	1951	1516	1661	1729	1988	1607	1157	1096	1096	1203	986	2687372	2261690	1767195	1324383	968970	591475	401475	250611	151634	87487	
BW287	UNKNOWN		UNKNOWN	33100849	32758202	3496341	5.66196	31971169	1009283	56940	11050	5313	3583	3316	2682	2618	2324	2557	2334	2468	2381	2456	2633	1673	3271173	2826008	2271457	1732545	1274345	788260	525618	329691	207685	122948	
