Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
ECA1853	UNKNOWN		UNKNOWN	89446552	46866677	4903274	15.7629	87356346	1726579	89253	38921	30014	24890	22417	18766	16033	13777	10778	8682	7045	6498	5458	5339	5131	3898750	3374898	2750798	2145172	1721154	1273154	1117610	1142712	1473437	2290863	
ECA1875	UNKNOWN		UNKNOWN	46246639	45939273	3624164	31.9562	44468782	1233585	68985	35678	29874	27476	25339	23126	21309	19995	18119	16606	15862	15483	14776	14443	14067	3710259	3177926	2585741	1998638	1609724	1022707	709983	459568	297445	195048	
ECA1885	UNKNOWN		UNKNOWN	28276373	27915364	5902427	12.9949	27286811	817886	44774	21281	15502	12202	9845	7485	6057	4621	3113	2429	1904	1645	1729	1865	2250	1975255	1691201	1345933	999064	762388	470507	314820	195877	121556	76301	
ECA1887	UNKNOWN		UNKNOWN	41764357	41199496	9710695	12.0959	40395812	1151482	57590	26318	19359	15371	12494	9413	7224	5519	4039	3099	2586	2273	2262	2372	2908	2901748	2412503	1881789	1389885	1036352	632211	449604	292250	184535	116093	
ECA1889	UNKNOWN		UNKNOWN	25837728	25643293	5555321	13.2663	24992726	715188	36855	17335	12277	9481	7931	6214	4554	3345	2417	1765	1387	1269	1194	1265	1418	1721600	1422422	1088764	785907	570973	334947	227435	142405	88885	57460	
ECA189	UNKNOWN		UNKNOWN	44374994	43788330	1527181	23.986	43219282	916904	52555	30059	20942	14723	10414	12592	9640	7828	6991	6449	6519	6857	8027	11659	33553	3198236	2772145	2240037	1735363	1323379	898838	609926	387102	244933	157568	
ECA1891	UNKNOWN		UNKNOWN	27166929	26989265	6758833	11.6396	26293599	748803	36481	15954	12011	8550	7498	5567	4054	3050	2242	1740	1283	1094	1141	1388	1516	1793962	1472665	1122301	823428	603354	356271	243536	151919	91356	56880	
ECA1901	UNKNOWN		UNKNOWN	34962998	34139375	2498956	19.6539	33749567	946480	51221	25551	20069	17002	14997	12737	11313	9671	8134	7215	6177	5805	5418	5176	4915	2741452	2365836	1930002	1477035	1151315	734320	510460	337902	234124	176330	
ECA191	UNKNOWN		UNKNOWN	47245017	46220533	3101853	14.6989	45958808	1054814	63973	35825	26262	18283	13017	8494	5130	2744	1555	1211	1416	1924	3140	7592	40829	3513434	3056368	2472009	1927697	1412725	1025363	647963	421265	258362	169833	
ECA1919	UNKNOWN		UNKNOWN	30519545	30257157	5186175	16.7937	29405025	918569	51961	23295	17542	12695	11232	8708	7261	5782	4336	3312	2968	2364	2167	2057	2184	2142104	1767896	1364371	999058	723721	462058	304525	191187	118526	74586	
